name,zip_code,projdesc,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,geo_dist
P.S. 32 - QUEENS,11434.0,LSP FY23 RESO A ROOM CONVERSION,71.0,6.0,25
THE HERITAGE SCHOOL - MANHATTAN,10128.0,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,11.0,1.0,4
I.S. 227 - QUEENS,11377.0,FY19 RESO A AUDITORIUM UPGRADE,62.0,34.0,30
P.S. 254 - QUEENS,11418.0,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,60.0,41.0,27
CONCORD HS - R,10301.0,FY20 RESO A IPDVS CAMERA INSTALLATION / FY25 RESO A IPDVS CAMERA INSTALLATION / FY25 RESO A IPDVS CAMERA INSTALLATION,74.0,13.0,31
P.S. 146 - BRONX,10454.0,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,23.0,35.0,8
BRONX ALLIANCE MIDDLE SCHOOL,10456.0,FY24 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,25.0,42.0,11
NEW BRIDGES,11208.0,FY24 RESO A ROOM CONVERSION / PATH OF TRAVEL RESO A ROOM CONVERSION,47.0,37.0,17
METROPOLITAN HS - BRONX,10473.0,ROOFS / WINDOWS / EXTERIOR MASONRY,26.0,31.0,12
HS FOR HEALTH PROF & HUMAN SERV-M,10065.0,AUDITORIUM UPGRADE / ROOFS / PATH OF TRAVEL AUDITORIUM UPGRADE / PARAPETS / EXTERIOR MASONRY / WINDOWS,11.0,1.0,2
P.S. 249 - BROOKLYN,11235.0,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,35.0,15.0,17
P.S. 183 - QUEENS,11375.0,FY19 RESO A PLAYGROUND / PATH OF TRAVEL RESO A PLAYGROUND,70.0,28.0,27
P.S. 333 - MANHATTAN,10002.0,RPZ BACKFLOW PREVENTION DEVICES,2.0,32.0,3
