manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_2_gross_sqft,comparable_rental_1_boro_block_lot,comparable_rental_2_full_market_value,comparable_rental_2_building_classification,comparable_rental_2_neighborhood,nta
9324,0.15,9295.0,1-01534-0033,1510000.0,C1-WALK-UP,UPPER EAST SIDE (79-96),
273583,0.75,268750.0,1-01559-0019,53900000.0,D6-ELEVATOR,UPPER EAST SIDE (79-96),Upper East Side-Carnegie Hill                                              
90700,0.5,75854.0,1-01425-0017,13900000.0,D3-ELEVATOR,UPPER EAST SIDE (59-79),
80613,2.0,74396.0,1-01210-0012,16000000.0,D3-ELEVATOR,UPPER EAST SIDE (79-96),
28250,0.25,28240.0,1-00860-0015,5870000.0,D9-ELEVATOR,MURRAY HILL,
115020,0.15,146072.0,1-01366-0047,19100000.0,D6-ELEVATOR,MIDTOWN EAST,
19148,0.2,20630.0,1-01543-0033,4380000.0,C1-WALK-UP,UPPER EAST SIDE (79-96),
289066,1.5,205967.0,1-01142-0064,23600000.0,D6-ELEVATOR,UPPER EAST SIDE (79-96),
5355,0.3,8550.0,1-01228-0030,1240000.0,C7-WALK-UP,UPPER WEST SIDE (79-96),
142971,1.6,173168.0,1-01511-0033,22300000.0,D6-ELEVATOR,MIDTOWN CBD,
20026,,,1-02108-0056,,,,
151912,0.75,198248.0,1-01869-0044,19500000.0,D3-ELEVATOR,UPPER WEST SIDE (96-116),Morningside Heights                                                        
10200,0.25,9855.0,1-01078-0014,1660000.0,C1-WALK-UP,CLINTON,
61839,0.2,62188.0,1-00890-0005,11900000.0,D5-ELEVATOR,MURRAY HILL,
